#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 4.1
S0040-1,S0040,OLR,,hiT 7300+,S0040-1,5.10,,,-1,-1,-1,,,,
S0041-1,S0041,OLR,,hiT 7300+,S0041-1,5.10,,,-1,-1,-1,,,,
S0042-1,S0042,OLR,,hiT 7300+,S0042-1,5.10,,,-1,-1,-1,,,,
S0043-1,S0043,OLR,,hiT 7300+,S0043-1,5.10,,,-1,-1,-1,,,,
S0044-1,S0044,OLR,,hiT 7300+,S0044-1,5.10,,,-1,-1,-1,,,,
S0045-1,S0045,OLR,,hiT 7300+,S0045-1,5.10,,,-1,-1,-1,,,,
S0046-1,S0046,OLR,,hiT 7300+,S0046-1,5.10,,,-1,-1,-1,,,,
S0047-1,S0047,OLR,,hiT 7300+,S0047-1,5.10,,,-1,-1,-1,,,,
S0048-1,S0048,OLR,,hiT 7300+,S0048-1,5.10,,,-1,-1,-1,,,,
S0049-1,S0049,OLR,,hiT 7300+,S0049-1,5.10,,,-1,-1,-1,,,,
S0050-1,S0050,OLR,,hiT 7300+,S0050-1,5.10,,,-1,-1,-1,,,,
S0051-1,S0051,OLR,,hiT 7300+,S0051-1,5.10,,,-1,-1,-1,,,,
S0052-1,S0052,OLR,,hiT 7300+,S0052-1,5.10,,,-1,-1,-1,,,,
S0053-1,S0053,OLR,,hiT 7300+,S0053-1,5.10,,,-1,-1,-1,,,,
S0054-1,S0054,OLR,,hiT 7300+,S0054-1,5.10,,,-1,-1,-1,,,,
S0055-1,S0055,OLR,,hiT 7300+,S0055-1,5.10,,,-1,-1,-1,,,,
S0056-1,S0056,OLR,,hiT 7300+,S0056-1,5.10,,,-1,-1,-1,,,,
S0057-1,S0057,OLR,,hiT 7300+,S0057-1,5.10,,,-1,-1,-1,,,,
S0058-1,S0058,OLR,,hiT 7300+,S0058-1,5.10,,,-1,-1,-1,,,,
S0059-1,S0059,OLR,,hiT 7300+,S0059-1,5.10,,,-1,-1,-1,,,,
S0060-1,S0060,OLR,,hiT 7300+,S0060-1,5.10,,,-1,-1,-1,,,,
S0061-1,S0061,OLR,,hiT 7300+,S0061-1,5.10,,,-1,-1,-1,,,,
S0062-1,S0062,OLR,,hiT 7300+,S0062-1,5.10,,,-1,-1,-1,,,,
S0063-1,S0063,OLR,,hiT 7300+,S0063-1,5.10,,,-1,-1,-1,,,,
S0064-1,S0064,OLR,,hiT 7300+,S0064-1,5.10,,,-1,-1,-1,,,,
S0065-1,S0065,OLR,,hiT 7300+,S0065-1,5.10,,,-1,-1,-1,,,,
S0066-1,S0066,OLR,,hiT 7300+,S0066-1,5.10,,,-1,-1,-1,,,,
S0067-1,S0067,OLR,,hiT 7300+,S0067-1,5.10,,,-1,-1,-1,,,,
S0068-1,S0068,OLR,,hiT 7300+,S0068-1,5.10,,,-1,-1,-1,,,,
S0069-1,S0069,OLR,,hiT 7300+,S0069-1,5.10,,,-1,-1,-1,,,,
S0070-1,S0070,OLR,,hiT 7300+,S0070-1,5.10,,,-1,-1,-1,,,,
S0071-1,S0071,OLR,,hiT 7300+,S0071-1,5.10,,,-1,-1,-1,,,,
S0072-1,S0072,OLR,,hiT 7300+,S0072-1,5.10,,,-1,-1,-1,,,,
S0073-1,S0073,OLR,,hiT 7300+,S0073-1,5.10,,,-1,-1,-1,,,,
S0074-1,S0074,OLR,,hiT 7300+,S0074-1,5.10,,,-1,-1,-1,,,,
S0075-1,S0075,OLR,,hiT 7300+,S0075-1,5.10,,,-1,-1,-1,,,,
S0076-1,S0076,OLR,,hiT 7300+,S0076-1,5.10,,,-1,-1,-1,,,,
S0077-1,S0077,OLR,,hiT 7300+,S0077-1,5.10,,,-1,-1,-1,,,,
S0078-1,S0078,OLR,,hiT 7300+,S0078-1,5.10,,,-1,-1,-1,,,,
S0079-1,S0079,OLR,,hiT 7300+,S0079-1,5.10,,,-1,-1,-1,,,,
S0080-1,S0080,OLR,,hiT 7300+,S0080-1,5.10,,,-1,-1,-1,,,,
S0081-1,S0081,OLR,,hiT 7300+,S0081-1,5.10,,,-1,-1,-1,,,,
S0082-1,S0082,OLR,,hiT 7300+,S0082-1,5.10,,,-1,-1,-1,,,,
S0083-1,S0083,OLR,,hiT 7300+,S0083-1,5.10,,,-1,-1,-1,,,,
S0084-1,S0084,OLR,,hiT 7300+,S0084-1,5.10,,,-1,-1,-1,,,,
S0085-1,S0085,OLR,,hiT 7300+,S0085-1,5.10,,,-1,-1,-1,,,,
S0086-1,S0086,OLR,,hiT 7300+,S0086-1,5.10,,,-1,-1,-1,,,,
S0087-1,S0087,OLR,,hiT 7300+,S0087-1,5.10,,,-1,-1,-1,,,,
S0088-1,S0088,OLR,,hiT 7300+,S0088-1,5.10,,,-1,-1,-1,,,,
S0089-1,S0089,OLR,,hiT 7300+,S0089-1,5.10,,,-1,-1,-1,,,,
S0090-1,S0090,OLR,,hiT 7300+,S0090-1,5.10,,,-1,-1,-1,,,,
S0091-1,S0091,OLR,,hiT 7300+,S0091-1,5.10,,,-1,-1,-1,,,,
S0092-1,S0092,OLR,,hiT 7300+,S0092-1,5.10,,,-1,-1,-1,,,,
S0093-1,S0093,OLR,,hiT 7300+,S0093-1,5.10,,,-1,-1,-1,,,,
S0094-1,S0094,OLR,,hiT 7300+,S0094-1,5.10,,,-1,-1,-1,,,,
S0095-1,S0095,OLR,,hiT 7300+,S0095-1,5.10,,,-1,-1,-1,,,,
S0096-1,S0096,OLR,,hiT 7300+,S0096-1,5.10,,,-1,-1,-1,,,,
S0097-1,S0097,OLR,,hiT 7300+,S0097-1,5.10,,,-1,-1,-1,,,,
S0098-1,S0098,OLR,,hiT 7300+,S0098-1,5.10,,,-1,-1,-1,,,,
S0099-1,S0099,OLR,,hiT 7300+,S0099-1,5.10,,,-1,-1,-1,,,,
S0100-1,S0100,OLR,,hiT 7300+,S0100-1,5.10,,,-1,-1,-1,,,,
S0101-1,S0101,OLR,,hiT 7300+,S0101-1,5.10,,,-1,-1,-1,,,,
S0102-1,S0102,OLR,,hiT 7300+,S0102-1,5.10,,,-1,-1,-1,,,,
S0103-1,S0103,OLR,,hiT 7300+,S0103-1,5.10,,,-1,-1,-1,,,,
S0104-1,S0104,OLR,,hiT 7300+,S0104-1,5.10,,,-1,-1,-1,,,,
S0105-1,S0105,OLR,,hiT 7300+,S0105-1,5.10,,,-1,-1,-1,,,,
S0106-1,S0106,OLR,,hiT 7300+,S0106-1,5.10,,,-1,-1,-1,,,,
S0107-1,S0107,OLR,,hiT 7300+,S0107-1,5.10,,,-1,-1,-1,,,,
S0108-1,S0108,OLR,,hiT 7300+,S0108-1,5.10,,,-1,-1,-1,,,,
S0109-1,S0109,OLR,,hiT 7300+,S0109-1,5.10,,,-1,-1,-1,,,,
S0110-1,S0110,OLR,,hiT 7300+,S0110-1,5.10,,,-1,-1,-1,,,,
S0111-1,S0111,OLR,,hiT 7300+,S0111-1,5.10,,,-1,-1,-1,,,,
S0112-1,S0112,OLR,,hiT 7300+,S0112-1,5.10,,,-1,-1,-1,,,,
S0113-1,S0113,OLR,,hiT 7300+,S0113-1,5.10,,,-1,-1,-1,,,,
S0114-1,S0114,OLR,,hiT 7300+,S0114-1,5.10,,,-1,-1,-1,,,,
S0115-1,S0115,OLR,,hiT 7300+,S0115-1,5.10,,,-1,-1,-1,,,,
S0116-1,S0116,OLR,,hiT 7300+,S0116-1,5.10,,,-1,-1,-1,,,,
S0117-1,S0117,OLR,,hiT 7300+,S0117-1,5.10,,,-1,-1,-1,,,,
S0118-1,S0118,OLR,,hiT 7300+,S0118-1,5.10,,,-1,-1,-1,,,,
S0119-1,S0119,OLR,,hiT 7300+,S0119-1,5.10,,,-1,-1,-1,,,,
S0120-1,S0120,OLR,,hiT 7300+,S0120-1,5.10,,,-1,-1,-1,,,,
S0121-1,S0121,OLR,,hiT 7300+,S0121-1,5.10,,,-1,-1,-1,,,,
S0122-1,S0122,OLR,,hiT 7300+,S0122-1,5.10,,,-1,-1,-1,,,,
S0123-1,S0123,OLR,,hiT 7300+,S0123-1,5.10,,,-1,-1,-1,,,,
S0124-1,S0124,OLR,,hiT 7300+,S0124-1,5.10,,,-1,-1,-1,,,,
S0125-1,S0125,OLR,,hiT 7300+,S0125-1,5.10,,,-1,-1,-1,,,,
S0126-1,S0126,OLR,,hiT 7300+,S0126-1,5.10,,,-1,-1,-1,,,,
S0127-1,S0127,OLR,,hiT 7300+,S0127-1,5.10,,,-1,-1,-1,,,,
S0128-1,S0128,OLR,,hiT 7300+,S0128-1,5.10,,,-1,-1,-1,,,,
S0129-1,S0129,OLR,,hiT 7300+,S0129-1,5.10,,,-1,-1,-1,,,,
S0130-1,S0130,OLR,,hiT 7300+,S0130-1,5.10,,,-1,-1,-1,,,,
S0131-1,S0131,OLR,,hiT 7300+,S0131-1,5.10,,,-1,-1,-1,,,,
S0132-1,S0132,OLR,,hiT 7300+,S0132-1,5.10,,,-1,-1,-1,,,,
S0133-1,S0133,OLR,,hiT 7300+,S0133-1,5.10,,,-1,-1,-1,,,,
S0134-1,S0134,OLR,,hiT 7300+,S0134-1,5.10,,,-1,-1,-1,,,,
S0135-1,S0135,OLR,,hiT 7300+,S0135-1,5.10,,,-1,-1,-1,,,,
S0136-1,S0136,OLR,,hiT 7300+,S0136-1,5.10,,,-1,-1,-1,,,,
S0137-1,S0137,OLR,,hiT 7300+,S0137-1,5.10,,,-1,-1,-1,,,,
S0138-1,S0138,OLR,,hiT 7300+,S0138-1,5.10,,,-1,-1,-1,,,,
S0139-1,S0139,OLR,,hiT 7300+,S0139-1,5.10,,,-1,-1,-1,,,,
S0140-1,S0140,OLR,,hiT 7300+,S0140-1,5.10,,,-1,-1,-1,,,,
S0141-1,S0141,OLR,,hiT 7300+,S0141-1,5.10,,,-1,-1,-1,,,,
S0142-1,S0142,OLR,,hiT 7300+,S0142-1,5.10,,,-1,-1,-1,,,,
S0143-1,S0143,OLR,,hiT 7300+,S0143-1,5.10,,,-1,-1,-1,,,,
S0144-1,S0144,OLR,,hiT 7300+,S0144-1,5.10,,,-1,-1,-1,,,,
S0145-1,S0145,OLR,,hiT 7300+,S0145-1,5.10,,,-1,-1,-1,,,,
S0146-1,S0146,OLR,,hiT 7300+,S0146-1,5.10,,,-1,-1,-1,,,,
S0147-1,S0147,OLR,,hiT 7300+,S0147-1,5.10,,,-1,-1,-1,,,,
S0148-1,S0148,OLR,,hiT 7300+,S0148-1,5.10,,,-1,-1,-1,,,,
S0149-1,S0149,OLR,,hiT 7300+,S0149-1,5.10,,,-1,-1,-1,,,,
S0150-1,S0150,OLR,,hiT 7300+,S0150-1,5.10,,,-1,-1,-1,,,,
S0151-1,S0151,OLR,,hiT 7300+,S0151-1,5.10,,,-1,-1,-1,,,,
S0152-1,S0152,OLR,,hiT 7300+,S0152-1,5.10,,,-1,-1,-1,,,,
S0153-1,S0153,OLR,,hiT 7300+,S0153-1,5.10,,,-1,-1,-1,,,,
S0154-1,S0154,OLR,,hiT 7300+,S0154-1,5.10,,,-1,-1,-1,,,,
S0155-1,S0155,OLR,,hiT 7300+,S0155-1,5.10,,,-1,-1,-1,,,,
S0156-1,S0156,OLR,,hiT 7300+,S0156-1,5.10,,,-1,-1,-1,,,,
S0157-1,S0157,OLR,,hiT 7300+,S0157-1,5.10,,,-1,-1,-1,,,,
S0158-1,S0158,OLR,,hiT 7300+,S0158-1,5.10,,,-1,-1,-1,,,,
S0159-1,S0159,OLR,,hiT 7300+,S0159-1,5.10,,,-1,-1,-1,,,,
S0160-1,S0160,OLR,,hiT 7300+,S0160-1,5.10,,,-1,-1,-1,,,,
S0161-1,S0161,OLR,,hiT 7300+,S0161-1,5.10,,,-1,-1,-1,,,,
S0162-1,S0162,OLR,,hiT 7300+,S0162-1,5.10,,,-1,-1,-1,,,,
S0163-1,S0163,OLR,,hiT 7300+,S0163-1,5.10,,,-1,-1,-1,,,,
S0164-1,S0164,OLR,,hiT 7300+,S0164-1,5.10,,,-1,-1,-1,,,,
S0165-1,S0165,OLR,,hiT 7300+,S0165-1,5.10,,,-1,-1,-1,,,,
S0166-1,S0166,OLR,,hiT 7300+,S0166-1,5.10,,,-1,-1,-1,,,,
S0167-1,S0167,OLR,,hiT 7300+,S0167-1,5.10,,,-1,-1,-1,,,,
S0168-1,S0168,OLR,,hiT 7300+,S0168-1,5.10,,,-1,-1,-1,,,,
S0169-1,S0169,OLR,,hiT 7300+,S0169-1,5.10,,,-1,-1,-1,,,,
S0170-1,S0170,OLR,,hiT 7300+,S0170-1,5.10,,,-1,-1,-1,,,,
S0171-1,S0171,OLR,,hiT 7300+,S0171-1,5.10,,,-1,-1,-1,,,,
S0172-1,S0172,OLR,,hiT 7300+,S0172-1,5.10,,,-1,-1,-1,,,,
S0173-1,S0173,OLR,,hiT 7300+,S0173-1,5.10,,,-1,-1,-1,,,,
S0174-1,S0174,OLR,,hiT 7300+,S0174-1,5.10,,,-1,-1,-1,,,,
S0175-1,S0175,OLR,,hiT 7300+,S0175-1,5.10,,,-1,-1,-1,,,,
S0176-1,S0176,OLR,,hiT 7300+,S0176-1,5.10,,,-1,-1,-1,,,,
S0177-1,S0177,OLR,,hiT 7300+,S0177-1,5.10,,,-1,-1,-1,,,,
S0178-1,S0178,OLR,,hiT 7300+,S0178-1,5.10,,,-1,-1,-1,,,,
S0179-1,S0179,OLR,,hiT 7300+,S0179-1,5.10,,,-1,-1,-1,,,,
S0180-1,S0180,OLR,,hiT 7300+,S0180-1,5.10,,,-1,-1,-1,,,,
S0181-1,S0181,OLR,,hiT 7300+,S0181-1,5.10,,,-1,-1,-1,,,,
S0182-1,S0182,OLR,,hiT 7300+,S0182-1,5.10,,,-1,-1,-1,,,,
S0183-1,S0183,OLR,,hiT 7300+,S0183-1,5.10,,,-1,-1,-1,,,,
S0184-1,S0184,OLR,,hiT 7300+,S0184-1,5.10,,,-1,-1,-1,,,,
S0185-1,S0185,OLR,,hiT 7300+,S0185-1,5.10,,,-1,-1,-1,,,,
S0186-1,S0186,OLR,,hiT 7300+,S0186-1,5.10,,,-1,-1,-1,,,,
S0187-1,S0187,OLR,,hiT 7300+,S0187-1,5.10,,,-1,-1,-1,,,,
S0188-1,S0188,OLR,,hiT 7300+,S0188-1,5.10,,,-1,-1,-1,,,,
S0189-1,S0189,OLR,,hiT 7300+,S0189-1,5.10,,,-1,-1,-1,,,,
S0190-1,S0190,OLR,,hiT 7300+,S0190-1,5.10,,,-1,-1,-1,,,,
S0191-1,S0191,OLR,,hiT 7300+,S0191-1,5.10,,,-1,-1,-1,,,,
S0192-1,S0192,OLR,,hiT 7300+,S0192-1,5.10,,,-1,-1,-1,,,,
S0193-1,S0193,OLR,,hiT 7300+,S0193-1,5.10,,,-1,-1,-1,,,,
S0194-1,S0194,OLR,,hiT 7300+,S0194-1,5.10,,,-1,-1,-1,,,,
S0195-1,S0195,OLR,,hiT 7300+,S0195-1,5.10,,,-1,-1,-1,,,,
S0196-1,S0196,OLR,,hiT 7300+,S0196-1,5.10,,,-1,-1,-1,,,,
S0197-1,S0197,OLR,,hiT 7300+,S0197-1,5.10,,,-1,-1,-1,,,,
S0198-1,S0198,OLR,,hiT 7300+,S0198-1,5.10,,,-1,-1,-1,,,,
S0199-1,S0199,OLR,,hiT 7300+,S0199-1,5.10,,,-1,-1,-1,,,,
S0200-1,S0200,OLR,,hiT 7300+,S0200-1,5.10,,,-1,-1,-1,,,,
S0201-1,S0201,OLR,,hiT 7300+,S0201-1,5.10,,,-1,-1,-1,,,,
S0202-1,S0202,OLR,,hiT 7300+,S0202-1,5.10,,,-1,-1,-1,,,,
S0203-1,S0203,OLR,,hiT 7300+,S0203-1,5.10,,,-1,-1,-1,,,,
S0204-1,S0204,OLR,,hiT 7300+,S0204-1,5.10,,,-1,-1,-1,,,,
