#name,code,latitudeDeg,latitudeMin,latitudeSec,longitudeDeg,longitudeMin,longitudeSec,description
#Version 4.1
S0093,S0093,46,24,28,-103,-35,-49,
S0094,S0094,46,28,54,-102,-47,-23,
S0095,S0095,46,34,0,-102,-12,-47,
S0096,S0096,46,40,47,-101,-30,-17,
S0097,S0097,45,20,29,-108,-19,-58,
S0098,S0098,44,48,43,-108,-4,-39,
S0099,S0099,44,17,1,-107,-48,-50,
S0100,S0100,43,46,7,-107,-28,-34,
S0101,S0101,43,12,46,-107,-8,-48,
S0102,S0102,42,38,45,-106,-47,-33,
S0103,S0103,42,4,48,-106,-27,-17,
S0104,S0104,41,30,32,-106,-7,-2,
S0105,S0105,41,0,49,-105,-48,-15,
S0106,S0106,40,24,29,-105,-24,-2,
S0107,S0107,46,1,34,-109,-27,-10,
S0108,S0108,46,10,49,-110,-16,-35,
S0109,S0109,46,22,5,-111,-7,-59,
S0110,S0110,46,32,18,-111,-58,-53,
S0111,S0111,46,41,7,-112,-46,-20,
S0112,S0112,46,55,40,-113,-34,-46,
S0113,S0113,47,5,6,-114,-26,-9,
S0114,S0114,47,13,50,-115,-17,-33,
S0115,S0115,47,26,14,-116,-5,-29,
S0116,S0116,47,35,55,-116,-47,-29,
S0117,S0117,34,0,47,-86,-50,-38,
S0118,S0118,34,33,2,-86,-51,-8,
S0119,S0119,35,3,4,-86,-50,-38,
S0120,S0120,35,39,20,-86,-51,-8,
S0121,S0121,32,58,33,-87,-13,-52,
S0122,S0122,32,31,32,-87,-43,-1,
S0123,S0123,32,4,23,-88,-6,-15,
S0124,S0124,31,37,56,-88,-32,-56,
S0125,S0125,31,14,20,-88,-55,-40,
S0126,S0126,30,48,55,-89,-17,-25,
S0127,S0127,30,27,14,-89,-35,-42,
S0128,S0128,46,42,29,-99,-58,-22,
S0129,S0129,46,31,57,-99,-18,-50,
S0130,S0130,46,21,4,-98,-35,-50,
S0131,S0131,46,13,53,-97,-51,-22,
S0132,S0132,46,2,15,-97,-9,-51,
S0133,S0133,45,49,52,-96,-28,-20,
S0134,S0134,45,36,25,-95,-42,-53,
S0135,S0135,45,22,13,-94,-60,-23,
S0136,S0136,45,8,39,-94,-13,-26,
S0137,S0137,42,29,18,-79,-29,-20,
S0138,S0138,42,17,15,-79,-59,-29,
S0139,S0139,41,59,40,-80,-30,-37,
S0140,S0140,41,43,50,-81,-3,-14,
S0141,S0141,43,3,24,-78,-19,-39,
S0142,S0142,32,19,51,-80,-39,-1,
S0143,S0143,31,51,48,-81,-5,-12,
S0144,S0144,31,23,37,-81,-18,-3,
S0145,S0145,30,52,44,-81,-33,-22,
S0146,S0146,33,23,47,-79,-47,-7,
S0147,S0147,33,57,30,-79,-34,-17,
S0148,S0148,34,30,11,-79,-17,-58,
S0149,S0149,34,56,35,-79,-1,-10,
S0150,S0150,35,24,28,-78,-46,-50,
S0151,S0151,35,38,8,-80,-23,-12,
S0152,S0152,41,57,5,-86,-58,-3,
S0153,S0153,42,2,36,-86,-13,-35,
S0154,S0154,42,8,6,-85,-27,-7,
S0155,S0155,42,12,52,-84,-41,-10,
S0156,S0156,42,16,53,-83,-56,-12,
S0157,S0157,42,16,53,-87,-51,-25,
S0158,S0158,42,41,40,-87,-58,-50,
S0159,S0159,41,20,9,-88,-2,-18,
S0160,S0160,40,57,5,-88,-21,-34,
S0161,S0161,40,30,30,-88,-44,-18,
S0162,S0162,40,2,36,-89,-1,-6,
S0163,S0163,39,23,50,-84,-2,-37,
S0164,S0164,39,37,56,-83,-33,-28,
S0165,S0165,38,46,37,-84,-58,-57,
S0166,S0166,38,30,1,-85,-22,-11,
S0167,S0167,39,7,45,-83,-49,-16,
S0168,S0168,39,5,50,-83,-3,-49,
S0169,S0169,39,3,9,-82,-20,-19,
S0170,S0170,39,2,46,-81,-36,-50,
S0171,S0171,39,0,5,-80,-53,-21,
S0172,S0172,38,57,47,-80,-11,-50,
S0173,S0173,38,55,5,-79,-28,-21,
S0174,S0174,38,55,5,-78,-36,-57,
S0175,S0175,38,55,5,-77,-53,-28,
S0176,S0176,40,56,43,-82,-8,-57,
S0177,S0177,40,29,22,-82,-36,-38,
S0178,S0178,41,27,12,-82,-22,-18,
S0179,S0179,41,32,45,-83,-1,-50,
S0180,S0180,40,13,11,-82,-12,-55,
S0181,S0181,40,17,19,-81,-31,-24,
S0182,S0182,40,18,27,-80,-51,-52,
S0183,S0183,32,19,1,-96,-32,-18,
S0184,S0184,31,49,17,-96,-20,-56,
S0185,S0185,31,16,1,-96,-7,-5,
S0186,S0186,30,47,13,-95,-52,-16,
S0187,S0187,30,16,34,-95,-36,-27,
S0188,S0188,33,6,0,-96,-2,-9,
S0189,S0189,33,24,36,-95,-21,-38,
S0190,S0190,33,45,36,-94,-37,-9,
S0191,S0191,33,59,8,-93,-58,-36,
S0192,S0192,34,13,52,-93,-27,-58,
S0193,S0193,34,24,53,-92,-55,-21,
S0194,S0194,33,25,26,-96,-50,-5,
S0195,S0195,33,53,49,-97,-6,-24,
S0196,S0196,34,29,22,-97,-22,-12,
S0197,S0197,34,58,37,-97,-28,-38,
S0198,S0198,39,51,59,-105,-39,-51,
S0199,S0199,40,0,20,-106,-20,-52,
S0200,S0200,40,6,23,-106,-58,-55,
S0201,S0201,40,13,33,-107,-33,-60,
S0202,S0202,40,21,51,-108,-14,-2,
S0203,S0203,40,28,37,-108,-56,-2,
S0204,S0204,40,37,15,-109,-34,-35,
S0205,S0205,40,46,37,-110,-22,-31,
S0206,S0206,40,47,45,-111,-7,-59,
S0207,S0207,39,54,16,-104,-2,-30,
S0208,S0208,40,0,20,-103,-17,-31,
S0209,S0209,40,7,8,-102,-28,-36,
S0210,S0210,40,13,11,-101,-43,-38,
S0211,S0211,40,19,35,-100,-55,-42,
S0212,S0212,40,23,44,-100,-5,-17,
S0213,S0213,40,28,14,-99,-26,-44,
S0214,S0214,40,38,45,-98,-47,-12,
S0215,S0215,40,45,30,-98,-9,-9,
S0216,S0216,40,49,14,-97,-31,-6,
S0217,S0217,40,59,42,-96,-49,-6,
S0218,S0218,42,2,14,-83,-25,-4,
S0219,S0219,31,35,25,-105,-40,-50,
S0220,S0220,31,26,34,-105,-6,-15,
S0221,S0221,31,16,1,-104,-27,-12,
S0222,S0222,31,10,6,-103,-56,-34,
S0223,S0223,30,56,59,-103,-15,-33,
S0224,S0224,30,47,39,-102,-41,-27,
S0225,S0225,30,37,27,-102,-6,-51,
S0226,S0226,30,27,40,-101,-38,-12,
S0227,S0227,30,16,34,-101,-4,-35,
S0228,S0228,29,59,29,-100,-32,-28,
S0229,S0229,29,47,55,-99,-58,-22,
S0230,S0230,29,32,53,-99,-20,-49,
S0231,S0231,31,52,14,-107,-9,-47,
S0232,S0232,31,57,16,-107,-52,-17,
S0233,S0233,32,3,33,-108,-27,-52,
S0234,S0234,32,9,24,-109,-4,-56,
S0235,S0235,32,11,30,-109,-43,-59,
S0236,S0236,32,11,55,-110,-22,-2,
S0237,S0237,36,43,9,-118,-56,-28,
S0238,S0238,36,34,50,-118,-15,-27,
S0239,S0239,36,28,52,-117,-41,-51,
S0240,S0240,36,21,19,-117,-4,-18,
S0241,S0241,36,15,21,-116,-26,-44,
S0242,S0242,36,14,9,-115,-53,-37,
S0243,S0243,36,18,8,-119,-26,-37,
S0244,S0244,35,46,58,-119,-5,-52,
S0245,S0245,35,15,35,-118,-48,-4,
S0246,S0246,34,42,48,-118,-36,-13,
S0247,S0247,37,16,19,-120,-19,-59,
S0248,S0248,37,36,19,-120,-53,-6,
S0249,S0249,37,46,29,-121,-25,-43,
S0250,S0250,36,21,43,-80,-35,-33,
S0251,S0251,36,36,25,-81,-21,-1,
S0252,S0252,36,51,4,-82,-6,-59,
S0253,S0253,37,2,31,-82,-48,-29,
S0254,S0254,37,13,33,-83,-29,-60,
S0255,S0255,37,29,16,-84,-7,-34,
S0256,S0256,37,39,51,-84,-40,-40,
S0257,S0257,37,53,31,-85,-16,-45,
S0258,S0258,36,0,34,-79,-17,-58,
S0259,S0259,36,34,2,-79,-13,-2,
S0260,S0260,36,53,50,-78,-38,-26,
S0261,S0261,37,11,12,-78,-5,-19,
S0262,S0262,41,18,18,-73,-3,-52,
S0263,S0263,40,51,51,-73,-24,-8,
S0264,S0264,41,48,37,-72,-6,-3,
S0265,S0265,29,48,46,-81,-37,-20,
S0266,S0266,29,22,33,-81,-33,-52,
S0267,S0267,28,57,6,-81,-29,-25,
S0268,S0268,39,42,7,-95,-4,-49,
S0269,S0269,40,14,41,-95,-26,-34,
S0270,S0270,40,43,15,-95,-47,-19,
S0271,S0271,39,3,55,-93,-56,-8,
S0272,S0272,38,57,24,-93,-11,-10,
S0273,S0273,38,51,37,-92,-32,-7,
S0274,S0274,38,47,46,-91,-49,-37,
S0275,S0275,38,42,0,-91,-5,-9,
S0276,S0276,38,33,30,-95,-1,-22,
S0277,S0277,38,3,38,-95,-15,-12,
S0278,S0278,37,33,58,-95,-25,-5,
S0279,S0279,37,8,3,-95,-36,-27,
S0280,S0280,36,39,59,-95,-47,-49,
S0281,S0281,35,48,34,-114,-53,-50,
S0282,S0282,35,28,29,-114,-20,-13,
S0283,S0283,35,5,5,-113,-53,-32,
S0284,S0284,34,39,57,-113,-24,-23,
S0285,S0285,34,21,13,-112,-59,-40,
S0286,S0286,33,58,44,-112,-35,-57,
S0287,S0287,36,52,15,-114,-52,-50,
S0288,S0288,37,26,8,-114,-30,-6,
S0289,S0289,38,0,8,-114,-1,-56,
S0290,S0290,38,30,24,-113,-37,-14,
S0291,S0291,38,59,19,-113,-18,-57,
S0292,S0292,39,24,12,-112,-59,-11,
S0293,S0293,39,52,45,-112,-37,-56,
S0294,S0294,40,20,43,-112,-16,-41,
S0295,S0295,34,52,8,-91,-47,-9,
S0296,S0296,34,57,0,-91,-13,-3,
S0297,S0297,35,0,38,-90,-40,-26,
S0298,S0298,33,47,39,-117,-50,-45,
S0299,S0299,33,22,32,-117,-18,-37,
S0300,S0300,34,15,30,-119,-7,-50,
S0301,S0301,37,39,51,-86,-2,-13,
S0302,S0302,37,14,44,-86,-19,-30,
S0303,S0303,36,44,44,-86,-33,-21,
S0304,S0304,38,16,51,-86,-32,-51,
S0305,S0305,38,20,44,-87,-15,-51,
S0306,S0306,38,25,23,-88,-5,-16,
S0307,S0307,38,31,34,-88,-52,-13,
S0308,S0308,38,35,26,-89,-35,-42,
S0309,S0309,35,20,50,-89,-14,-57,
S0310,S0310,35,36,8,-88,-34,-25,
S0311,S0311,35,46,58,-87,-59,-20,
S0312,S0312,36,0,34,-87,-27,-42,
S0313,S0313,25,57,20,-80,-55,-19,
S0314,S0314,26,23,56,-81,-23,-59,
S0315,S0315,27,0,35,-81,-47,-13,
S0316,S0316,27,27,23,-82,-9,-27,
S0317,S0317,26,14,38,-80,-12,-49,
S0318,S0318,43,14,56,-88,-35,-54,
S0319,S0319,43,27,9,-89,-9,-30,
S0320,S0320,43,40,45,-89,-49,-32,
S0321,S0321,43,55,23,-90,-33,-31,
S0322,S0322,44,10,39,-91,-15,-31,
S0323,S0323,44,25,51,-91,-53,-34,
S0324,S0324,44,39,36,-92,-38,-3,
S0325,S0325,44,27,37,-93,-29,-27,
S0326,S0326,44,0,21,-93,-49,-42,
S0327,S0327,43,32,31,-94,-9,-58,
S0328,S0328,43,2,18,-94,-32,-12,
S0329,S0329,42,36,56,-94,-51,-58,
S0330,S0330,42,6,16,-95,-11,-45,
S0331,S0331,41,37,56,-95,-34,-58,
S0332,S0332,30,23,49,-89,-17,-54,
S0333,S0333,30,33,12,-88,-44,-48,
S0334,S0334,30,44,15,-88,-14,-9,
S0335,S0335,30,47,39,-87,-32,-39,
S0336,S0336,30,45,6,-86,-48,-40,
S0337,S0337,30,40,0,-86,-5,-11,
S0338,S0338,30,32,46,-85,-30,-35,
S0339,S0339,30,28,56,-84,-55,-59,
S0340,S0340,41,6,24,-74,-14,-32,
S0341,S0341,41,17,56,-74,-56,-33,
S0342,S0342,40,4,7,-74,-23,-26,
S0343,S0343,39,40,13,-74,-52,-6,
S0344,S0344,40,25,37,-74,-43,-12,
S0345,S0345,36,33,38,-76,-49,-43,
S0346,S0346,36,16,8,-77,-23,-49,
S0347,S0347,35,58,59,-77,-60,-23,
S0348,S0348,37,32,48,-76,-20,-4,
S0349,S0349,38,19,57,-76,-27,-29,
S0350,S0350,38,38,8,-75,-44,-59,
S0351,S0351,39,9,40,-75,-42,-60,
S0352,S0352,38,9,5,-122,-8,-43,
S0353,S0353,38,25,46,-121,-54,-23,
S0354,S0354,37,59,45,-121,-44,-30,
S0355,S0355,38,9,52,-121,-2,-29,
S0356,S0356,38,19,34,-120,-16,-32,
S0357,S0357,38,31,57,-119,-31,-34,
S0358,S0358,38,49,42,-118,-43,-37,
S0359,S0359,39,7,45,-117,-50,-45,
S0360,S0360,39,26,7,-117,-3,-48,
S0361,S0361,39,38,42,-116,-26,-14,
S0362,S0362,39,56,55,-115,-43,-15,
S0363,S0363,40,9,1,-115,-1,-44,
S0364,S0364,40,24,6,-114,-22,-42,
S0365,S0365,40,31,15,-113,-47,-36,
S0366,S0366,40,43,15,-113,-11,-2,
S0367,S0367,40,47,0,-112,-35,-27,
S0368,S0368,35,38,8,-96,-60,-57,
S0369,S0369,35,53,46,-96,-32,-18,
S0370,S0370,28,4,33,-81,-5,-12,
S0371,S0371,27,34,50,-80,-49,-24,
S0372,S0372,27,10,42,-80,-32,-35,
S0373,S0373,40,29,0,-75,-25,-12,
S0374,S0374,40,56,43,-75,-36,-34,
S0375,S0375,33,24,12,-112,-42,-23,
S0376,S0376,33,15,56,-113,-18,-57,
S0377,S0377,33,11,23,-113,-57,-59,
S0378,S0378,33,4,21,-114,-37,-2,
S0379,S0379,32,56,4,-115,-20,-60,
S0380,S0380,32,52,45,-115,-56,-6,
S0381,S0381,32,50,15,-116,-32,-10,
S0382,S0382,33,1,27,-111,-40,-36,
S0383,S0383,32,36,32,-111,-18,-22,
S0384,S0384,40,37,38,-79,-16,-29,
S0385,S0385,40,47,0,-78,-30,-32,
S0386,S0386,40,57,50,-77,-46,-3,
S0387,S0387,41,8,16,-77,-3,-3,
S0388,S0388,41,17,11,-76,-24,-60,
S0389,S0389,44,56,4,-122,-38,-51,
S0390,S0390,44,23,23,-122,-38,-51,
S0391,S0391,43,50,23,-122,-39,-21,
S0392,S0392,43,13,8,-122,-36,-53,
S0393,S0393,42,40,34,-122,-35,-53,
S0394,S0394,42,4,4,-122,-25,-1,
S0395,S0395,41,31,16,-122,-17,-36,
S0396,S0396,40,55,58,-122,-6,-44,
S0397,S0397,40,23,44,-121,-57,-50,
S0398,S0398,39,49,43,-121,-46,-28,
S0399,S0399,39,17,43,-121,-36,-35,
S0400,S0400,45,22,54,-121,-55,-52,
S0401,S0401,45,11,26,-121,-14,-51,
S0402,S0402,44,56,4,-120,-37,-47,
S0403,S0403,44,39,14,-119,-50,-50,
S0404,S0404,44,24,6,-119,-10,-19,
S0405,S0405,44,7,28,-118,-24,-21,
S0406,S0406,43,48,58,-117,-40,-22,
S0407,S0407,43,31,5,-116,-55,-24,
S0408,S0408,43,14,13,-116,-20,-48,
S0409,S0409,42,53,16,-115,-31,-23,
S0410,S0410,42,30,1,-114,-51,-21,
S0411,S0411,42,13,13,-114,-4,-54,
S0412,S0412,41,55,15,-113,-33,-17,
S0413,S0413,41,34,58,-112,-54,-44,
S0414,S0414,41,12,21,-112,-19,-39,
S0415,S0415,46,6,42,-122,-38,-51,
S0416,S0416,46,39,26,-122,-35,-24,
S0417,S0417,47,9,49,-122,-29,-28,
S0418,S0418,37,58,11,-77,-25,-47,
S0419,S0419,38,24,13,-77,-24,-48,
S0420,S0420,43,8,27,-76,-55,-9,
S0421,S0421,36,49,6,-121,-31,-9,
S0422,S0422,36,23,18,-121,-11,-23,
S0423,S0423,35,55,47,-120,-47,-40,
S0424,S0424,35,27,41,-120,-25,-55,
S0425,S0425,34,59,25,-120,-5,-39,
S0426,S0426,41,58,33,-75,-56,-50,
S0427,S0427,42,32,34,-76,-5,-44,
S0428,S0428,47,38,15,-121,-37,-35,
S0429,S0429,47,39,54,-120,-51,-37,
S0430,S0430,47,39,54,-119,-60,-43,
S0431,S0431,47,39,54,-119,-11,-48,
S0432,S0432,47,39,54,-118,-19,-54,
S0433,S0433,39,3,55,-89,-51,-60,
S0434,S0434,30,11,1,-83,-43,-50,
S0435,S0435,29,46,12,-83,-14,-41,
S0436,S0436,29,16,31,-82,-45,-2,
S0437,S0437,28,41,4,-82,-30,-42,
