#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0075,Albuquerque,S0033-1,F0076,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,35,7,12,-106,-37,-12,35,42,57,-106,-22,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0076,S0033-1,Albuquerque,F0075,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,35,42,57,-106,-22,-21,35,7,12,-106,-37,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0093,Albuquerque,S0041-1,F0094,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,35,7,12,-106,-37,-12,34,32,13,-106,-37,-10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0094,S0041-1,Albuquerque,F0093,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,34,32,13,-106,-37,-10,35,7,12,-106,-37,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0105,Albuquerque,S0046-1,F0106,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,35,7,12,-106,-37,-12,35,13,59,-107,-22,-9,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0106,S0046-1,Albuquerque,F0105,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,35,13,59,-107,-22,-9,35,7,12,-106,-37,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0129,Atlanta,S0057-1,F0130,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,33,45,36,-84,-25,-12,33,43,8,-85,-8,-50,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0130,S0057-1,Atlanta,F0129,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,33,43,8,-85,-8,-50,33,45,36,-84,-25,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0137,Atlanta,S0060-1,F0138,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,33,45,36,-84,-25,-12,33,56,41,-83,-52,-44,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0138,S0060-1,Atlanta,F0137,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,33,56,41,-83,-52,-44,33,45,36,-84,-25,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0149,Atlanta,S0065-1,F0150,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,33,45,36,-84,-25,-12,33,13,52,-83,-59,-10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0150,S0065-1,Atlanta,F0149,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,33,13,52,-83,-59,-10,33,45,36,-84,-25,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0163,Austin,S0071-1,F0164,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,30,18,36,-97,-45,0,30,13,9,-97,-7,-23,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0164,S0071-1,Austin,F0163,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,30,13,9,-97,-7,-23,30,18,36,-97,-45,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0171,Austin,S0074-1,F0172,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,30,18,36,-97,-45,0,29,53,29,-98,-10,-9,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0172,S0074-1,Austin,F0171,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,29,53,29,-98,-10,-9,30,18,36,-97,-45,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0175,Baltimore,S0075-1,F0176,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,39,17,60,-76,-36,-36,39,42,7,-76,-16,-7,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0176,S0075-1,Baltimore,F0175,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,39,42,7,-76,-16,-7,39,17,60,-76,-36,-36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0181,Baltimore,S0077-1,F0182,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,39,17,60,-76,-36,-36,39,31,4,-77,-21,-50,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0182,S0077-1,Baltimore,F0181,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,39,31,4,-77,-21,-50,39,17,60,-76,-36,-36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0191,Baltimore,WashingtonDC,F0192,Auto,SSMF,67.18,14.1078,0,1680,0.058,0.5,0.25,0.25,0,14.1078,1680,0.058,0.5,,ONN-X96,ONN-X96,39,17,60,-76,-36,-36,38,54,36,-77,-1,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0192,WashingtonDC,Baltimore,F0191,Auto,SSMF,67.18,14.1078,0,1680,0.058,0.5,0.25,0.25,0,14.1078,1680,0.058,0.5,,ONN-X96,ONN-X96,38,54,36,-77,-1,-12,39,17,60,-76,-36,-36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0193,BatonRouge,S0081-1,F0194,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,30,26,60,-91,-7,-48,30,22,7,-91,-46,-39,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0194,S0081-1,BatonRouge,F0193,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,30,22,7,-91,-46,-39,30,26,60,-91,-7,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0207,BatonRouge,S0087-1,F0208,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,30,26,60,-91,-7,-48,30,10,10,-90,-32,-2,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0208,S0087-1,BatonRouge,F0207,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,30,10,10,-90,-32,-2,30,26,60,-91,-7,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0211,Billings,S0088-1,F0212,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,45,47,24,-108,-32,-24,45,52,17,-107,-36,-29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0212,S0088-1,Billings,F0211,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,45,52,17,-107,-36,-29,45,47,24,-108,-32,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0231,Billings,S0097-1,F0232,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,45,47,24,-108,-32,-24,45,20,29,-108,-19,-58,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0232,S0097-1,Billings,F0231,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,45,20,29,-108,-19,-58,45,47,24,-108,-32,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0253,Billings,S0107-1,F0254,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,45,47,24,-108,-32,-24,46,1,34,-109,-27,-10,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0254,S0107-1,Billings,F0253,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,46,1,34,-109,-27,-10,45,47,24,-108,-32,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0135,S0059-1,Birmingham,F0136,Auto,SSMF,26.23,5.5083,0,1680,0.058,0.5,0.25,0.25,0,5.5083,1680,0.058,0.5,,OLR,ONN-X96,33,36,9,-86,-16,-3,33,31,48,-86,-48,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0136,Birmingham,S0059-1,F0135,Auto,SSMF,26.23,5.5083,0,1680,0.058,0.5,0.25,0.25,0,5.5083,1680,0.058,0.5,,ONN-X96,OLR,33,31,48,-86,-48,0,33,36,9,-86,-16,-3,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0275,Birmingham,S0117-1,F0276,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,33,31,48,-86,-48,0,34,0,47,-86,-50,-38,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0276,S0117-1,Birmingham,F0275,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,34,0,47,-86,-50,-38,33,31,48,-86,-48,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0285,Birmingham,S0121-1,F0286,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,33,31,48,-86,-48,0,32,58,33,-87,-13,-52,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0286,S0121-1,Birmingham,F0285,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,32,58,33,-87,-13,-52,33,31,48,-86,-48,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0229,S0096-1,Bismarck,F0230,Auto,SSMF,9.02,1.8942,0,1680,0.058,0.5,0.25,0.25,0,1.8942,1680,0.058,0.5,,OLR,ONN-X96,46,40,47,-101,-30,-17,46,48,36,-100,-46,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0230,Bismarck,S0096-1,F0229,Auto,SSMF,9.02,1.8942,0,1680,0.058,0.5,0.25,0.25,0,1.8942,1680,0.058,0.5,,ONN-X96,OLR,46,48,36,-100,-46,-12,46,40,47,-101,-30,-17,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0301,Bismarck,S0128-1,F0302,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,46,48,36,-100,-46,-12,46,42,29,-99,-58,-22,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0302,S0128-1,Bismarck,F0301,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,46,42,29,-99,-58,-22,46,48,36,-100,-46,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0037,S0016-1,Boston,F0038,Auto,SSMF,37.06,7.7826,0,1680,0.058,0.5,0.25,0.25,0,7.7826,1680,0.058,0.5,,OLR,ONN-X96,42,23,49,-71,-43,-49,42,20,24,-71,-1,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0038,Boston,S0016-1,F0037,Auto,SSMF,37.06,7.7826,0,1680,0.058,0.5,0.25,0.25,0,7.7826,1680,0.058,0.5,,ONN-X96,OLR,42,20,24,-71,-1,-12,42,23,49,-71,-43,-49,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0321,Boston,Providence,F0322,Auto,SSMF,79.92,16.7832,0,1680,0.058,0.5,0.25,0.25,0,16.7832,1680,0.058,0.5,,ONN-X96,ONN-X96,42,20,24,-71,-1,-12,41,49,12,-71,-25,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0322,Providence,Boston,F0321,Auto,SSMF,79.92,16.7832,0,1680,0.058,0.5,0.25,0.25,0,16.7832,1680,0.058,0.5,,ONN-X96,ONN-X96,41,49,12,-71,-25,-12,42,20,24,-71,-1,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0323,Buffalo,S0137-1,F0324,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,42,53,24,-78,-51,-36,42,29,18,-79,-29,-20,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0324,S0137-1,Buffalo,F0323,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,42,29,18,-79,-29,-20,42,53,24,-78,-51,-36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0333,Buffalo,S0141-1,F0334,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,42,53,24,-78,-51,-36,43,3,24,-78,-19,-39,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0334,S0141-1,Buffalo,F0333,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,43,3,24,-78,-19,-39,42,53,24,-78,-51,-36,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0337,Charleston,S0142-1,F0338,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,32,47,24,-79,-59,-24,32,19,51,-80,-39,-1,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0338,S0142-1,Charleston,F0337,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,32,19,51,-80,-39,-1,32,47,24,-79,-59,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0347,Charleston,S0146-1,F0348,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,32,47,24,-79,-59,-24,33,23,47,-79,-47,-7,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0348,S0146-1,Charleston,F0347,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,33,23,47,-79,-47,-7,32,47,24,-79,-59,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0147,S0064-1,Charlotte,F0148,Auto,SSMF,39.24,8.2404,0,1680,0.058,0.5,0.25,0.25,0,8.2404,1680,0.058,0.5,,OLR,ONN-X96,34,56,35,-81,-33,-22,35,12,0,-80,-49,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0148,Charlotte,S0064-1,F0147,Auto,SSMF,39.24,8.2404,0,1680,0.058,0.5,0.25,0.25,0,8.2404,1680,0.058,0.5,,ONN-X96,OLR,35,12,0,-80,-49,-48,34,56,35,-81,-33,-22,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0359,Charlotte,S0151-1,F0360,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,35,12,0,-80,-49,-48,35,38,8,-80,-23,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0360,S0151-1,Charlotte,F0359,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,35,38,8,-80,-23,-12,35,12,0,-80,-49,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0363,Chicago,S0152-1,F0364,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,41,50,24,-87,-40,-48,41,57,5,-86,-58,-3,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0364,S0152-1,Chicago,F0363,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,41,57,5,-86,-58,-3,41,50,24,-87,-40,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0375,Chicago,S0157-1,F0376,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,41,50,24,-87,-40,-48,42,16,53,-87,-51,-25,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0376,S0157-1,Chicago,F0375,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,42,16,53,-87,-51,-25,41,50,24,-87,-40,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0381,Chicago,S0159-1,F0382,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,41,50,24,-87,-40,-48,41,20,9,-88,-2,-18,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0382,S0159-1,Chicago,F0381,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,41,20,9,-88,-2,-18,41,50,24,-87,-40,-48,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
