#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 5.1
24,24,ONN-X96,,hiT 7300+,24,5.10,,,-1,-1,-1,,,,
18,18,ONN-X96,,hiT 7300+,18,5.10,,,-1,-1,-1,,,,
11,11,ONN-X96,,hiT 7300+,11,5.10,,,-1,-1,-1,,,,
32,32,ONN-X96,,hiT 7300+,32,5.10,,,-1,-1,-1,,,,
25,25,ONN-X96,,hiT 7300+,25,5.10,,,-1,-1,-1,,,,
26,26,ONN-X96,,hiT 7300+,26,5.10,,,-1,-1,-1,,,,
S0001-100,S0001,OLR,,hiT 7300+,S0001-100,5.10,,,-1,-1,-1,,,,
S0002-100,S0002,OLR,,hiT 7300+,S0002-100,5.10,,,-1,-1,-1,,,,
S0003-100,S0003,OLR,,hiT 7300+,S0003-100,5.10,,,-1,-1,-1,,,,
S0004-100,S0004,OLR,,hiT 7300+,S0004-100,5.10,,,-1,-1,-1,,,,
S0005-100,S0005,OLR,,hiT 7300+,S0005-100,5.10,,,-1,-1,-1,,,,
S0006-100,S0006,OLR,,hiT 7300+,S0006-100,5.10,,,-1,-1,-1,,,,
S0007-100,S0007,OLR,,hiT 7300+,S0007-100,5.10,,,-1,-1,-1,,,,
S0008-100,S0008,OLR,,hiT 7300+,S0008-100,5.10,,,-1,-1,-1,,,,
S0009-100,S0009,OLR,,hiT 7300+,S0009-100,5.10,,,-1,-1,-1,,,,
S0010-100,S0010,OLR,,hiT 7300+,S0010-100,5.10,,,-1,-1,-1,,,,
S0011-100,S0011,OLR,,hiT 7300+,S0011-100,5.10,,,-1,-1,-1,,,,
S0012-100,S0012,OLR,,hiT 7300+,S0012-100,5.10,,,-1,-1,-1,,,,
S0013-100,S0013,OLR,,hiT 7300+,S0013-100,5.10,,,-1,-1,-1,,,,
S0014-100,S0014,OLR,,hiT 7300+,S0014-100,5.10,,,-1,-1,-1,,,,
S0015-100,S0015,OLR,,hiT 7300+,S0015-100,5.10,,,-1,-1,-1,,,,
S0016-100,S0016,OLR,,hiT 7300+,S0016-100,5.10,,,-1,-1,-1,,,,
S0017-100,S0017,OLR,,hiT 7300+,S0017-100,5.10,,,-1,-1,-1,,,,
S0018-100,S0018,OLR,,hiT 7300+,S0018-100,5.10,,,-1,-1,-1,,,,
S0019-100,S0019,OLR,,hiT 7300+,S0019-100,5.10,,,-1,-1,-1,,,,
S0020-100,S0020,OLR,,hiT 7300+,S0020-100,5.10,,,-1,-1,-1,,,,
S0021-100,S0021,OLR,,hiT 7300+,S0021-100,5.10,,,-1,-1,-1,,,,
S0022-100,S0022,OLR,,hiT 7300+,S0022-100,5.10,,,-1,-1,-1,,,,
S0023-100,S0023,OLR,,hiT 7300+,S0023-100,5.10,,,-1,-1,-1,,,,
S0024-100,S0024,OLR,,hiT 7300+,S0024-100,5.10,,,-1,-1,-1,,,,
S0025-100,S0025,OLR,,hiT 7300+,S0025-100,5.10,,,-1,-1,-1,,,,
S0026-100,S0026,OLR,,hiT 7300+,S0026-100,5.10,,,-1,-1,-1,,,,
S0027-100,S0027,OLR,,hiT 7300+,S0027-100,5.10,,,-1,-1,-1,,,,
S0028-100,S0028,OLR,,hiT 7300+,S0028-100,5.10,,,-1,-1,-1,,,,
S0029-100,S0029,OLR,,hiT 7300+,S0029-100,5.10,,,-1,-1,-1,,,,
S0030-100,S0030,OLR,,hiT 7300+,S0030-100,5.10,,,-1,-1,-1,,,,
S0031-100,S0031,OLR,,hiT 7300+,S0031-100,5.10,,,-1,-1,-1,,,,
S0032-100,S0032,OLR,,hiT 7300+,S0032-100,5.10,,,-1,-1,-1,,,,
S0033-100,S0033,OLR,,hiT 7300+,S0033-100,5.10,,,-1,-1,-1,,,,
S0034-100,S0034,OLR,,hiT 7300+,S0034-100,5.10,,,-1,-1,-1,,,,
S0035-100,S0035,OLR,,hiT 7300+,S0035-100,5.10,,,-1,-1,-1,,,,
S0036-100,S0036,OLR,,hiT 7300+,S0036-100,5.10,,,-1,-1,-1,,,,
S0037-100,S0037,OLR,,hiT 7300+,S0037-100,5.10,,,-1,-1,-1,,,,
S0038-100,S0038,OLR,,hiT 7300+,S0038-100,5.10,,,-1,-1,-1,,,,
S0039-100,S0039,OLR,,hiT 7300+,S0039-100,5.10,,,-1,-1,-1,,,,
S0040-100,S0040,OLR,,hiT 7300+,S0040-100,5.10,,,-1,-1,-1,,,,
S0041-100,S0041,OLR,,hiT 7300+,S0041-100,5.10,,,-1,-1,-1,,,,
S0042-100,S0042,OLR,,hiT 7300+,S0042-100,5.10,,,-1,-1,-1,,,,
S0043-100,S0043,OLR,,hiT 7300+,S0043-100,5.10,,,-1,-1,-1,,,,
S0044-100,S0044,OLR,,hiT 7300+,S0044-100,5.10,,,-1,-1,-1,,,,
S0045-100,S0045,OLR,,hiT 7300+,S0045-100,5.10,,,-1,-1,-1,,,,
S0046-100,S0046,OLR,,hiT 7300+,S0046-100,5.10,,,-1,-1,-1,,,,
S0047-100,S0047,OLR,,hiT 7300+,S0047-100,5.10,,,-1,-1,-1,,,,
S0048-100,S0048,OLR,,hiT 7300+,S0048-100,5.10,,,-1,-1,-1,,,,
S0049-100,S0049,OLR,,hiT 7300+,S0049-100,5.10,,,-1,-1,-1,,,,
S0050-100,S0050,OLR,,hiT 7300+,S0050-100,5.10,,,-1,-1,-1,,,,
S0051-100,S0051,OLR,,hiT 7300+,S0051-100,5.10,,,-1,-1,-1,,,,
S0052-100,S0052,OLR,,hiT 7300+,S0052-100,5.10,,,-1,-1,-1,,,,
S0053-100,S0053,OLR,,hiT 7300+,S0053-100,5.10,,,-1,-1,-1,,,,
S0054-100,S0054,OLR,,hiT 7300+,S0054-100,5.10,,,-1,-1,-1,,,,
S0055-100,S0055,OLR,,hiT 7300+,S0055-100,5.10,,,-1,-1,-1,,,,
S0056-100,S0056,OLR,,hiT 7300+,S0056-100,5.10,,,-1,-1,-1,,,,
S0057-100,S0057,OLR,,hiT 7300+,S0057-100,5.10,,,-1,-1,-1,,,,
S0058-100,S0058,OLR,,hiT 7300+,S0058-100,5.10,,,-1,-1,-1,,,,
S0059-100,S0059,OLR,,hiT 7300+,S0059-100,5.10,,,-1,-1,-1,,,,
S0060-100,S0060,OLR,,hiT 7300+,S0060-100,5.10,,,-1,-1,-1,,,,
S0061-100,S0061,OLR,,hiT 7300+,S0061-100,5.10,,,-1,-1,-1,,,,
S0062-100,S0062,OLR,,hiT 7300+,S0062-100,5.10,,,-1,-1,-1,,,,
S0064-100,S0064,OLR,,hiT 7300+,S0064-100,5.10,,,-1,-1,-1,,,,
S0065-100,S0065,OLR,,hiT 7300+,S0065-100,5.10,,,-1,-1,-1,,,,
S0066-100,S0066,OLR,,hiT 7300+,S0066-100,5.10,,,-1,-1,-1,,,,
S0067-100,S0067,OLR,,hiT 7300+,S0067-100,5.10,,,-1,-1,-1,,,,
S0068-100,S0068,OLR,,hiT 7300+,S0068-100,5.10,,,-1,-1,-1,,,,
S0069-100,S0069,OLR,,hiT 7300+,S0069-100,5.10,,,-1,-1,-1,,,,
S0070-100,S0070,OLR,,hiT 7300+,S0070-100,5.10,,,-1,-1,-1,,,,
S0071-100,S0071,OLR,,hiT 7300+,S0071-100,5.10,,,-1,-1,-1,,,,
S0072-100,S0072,OLR,,hiT 7300+,S0072-100,5.10,,,-1,-1,-1,,,,
S0073-100,S0073,OLR,,hiT 7300+,S0073-100,5.10,,,-1,-1,-1,,,,
S0074-100,S0074,OLR,,hiT 7300+,S0074-100,5.10,,,-1,-1,-1,,,,
S0075-100,S0075,OLR,,hiT 7300+,S0075-100,5.10,,,-1,-1,-1,,,,
S0076-100,S0076,OLR,,hiT 7300+,S0076-100,5.10,,,-1,-1,-1,,,,
S0077-100,S0077,OLR,,hiT 7300+,S0077-100,5.10,,,-1,-1,-1,,,,
S0078-100,S0078,OLR,,hiT 7300+,S0078-100,5.10,,,-1,-1,-1,,,,
S0079-100,S0079,OLR,,hiT 7300+,S0079-100,5.10,,,-1,-1,-1,,,,
S0080-100,S0080,OLR,,hiT 7300+,S0080-100,5.10,,,-1,-1,-1,,,,
S0081-100,S0081,OLR,,hiT 7300+,S0081-100,5.10,,,-1,-1,-1,,,,
S0082-100,S0082,OLR,,hiT 7300+,S0082-100,5.10,,,-1,-1,-1,,,,
S0083-100,S0083,OLR,,hiT 7300+,S0083-100,5.10,,,-1,-1,-1,,,,
S0084-100,S0084,OLR,,hiT 7300+,S0084-100,5.10,,,-1,-1,-1,,,,
S0085-100,S0085,OLR,,hiT 7300+,S0085-100,5.10,,,-1,-1,-1,,,,
S0086-100,S0086,OLR,,hiT 7300+,S0086-100,5.10,,,-1,-1,-1,,,,
S0087-100,S0087,OLR,,hiT 7300+,S0087-100,5.10,,,-1,-1,-1,,,,
S0088-100,S0088,OLR,,hiT 7300+,S0088-100,5.10,,,-1,-1,-1,,,,
S0089-100,S0089,OLR,,hiT 7300+,S0089-100,5.10,,,-1,-1,-1,,,,
S0090-100,S0090,OLR,,hiT 7300+,S0090-100,5.10,,,-1,-1,-1,,,,
S0091-100,S0091,OLR,,hiT 7300+,S0091-100,5.10,,,-1,-1,-1,,,,
S0092-100,S0092,OLR,,hiT 7300+,S0092-100,5.10,,,-1,-1,-1,,,,
S0093-100,S0093,OLR,,hiT 7300+,S0093-100,5.10,,,-1,-1,-1,,,,
S0094-100,S0094,OLR,,hiT 7300+,S0094-100,5.10,,,-1,-1,-1,,,,
S0095-100,S0095,OLR,,hiT 7300+,S0095-100,5.10,,,-1,-1,-1,,,,
S0096-100,S0096,OLR,,hiT 7300+,S0096-100,5.10,,,-1,-1,-1,,,,
S0097-100,S0097,OLR,,hiT 7300+,S0097-100,5.10,,,-1,-1,-1,,,,
S0098-100,S0098,OLR,,hiT 7300+,S0098-100,5.10,,,-1,-1,-1,,,,
S0099-100,S0099,OLR,,hiT 7300+,S0099-100,5.10,,,-1,-1,-1,,,,
S0100-100,S0100,OLR,,hiT 7300+,S0100-100,5.10,,,-1,-1,-1,,,,
S0101-100,S0101,OLR,,hiT 7300+,S0101-100,5.10,,,-1,-1,-1,,,,
S0102-100,S0102,OLR,,hiT 7300+,S0102-100,5.10,,,-1,-1,-1,,,,
S0103-100,S0103,OLR,,hiT 7300+,S0103-100,5.10,,,-1,-1,-1,,,,
S0104-100,S0104,OLR,,hiT 7300+,S0104-100,5.10,,,-1,-1,-1,,,,
S0105-100,S0105,OLR,,hiT 7300+,S0105-100,5.10,,,-1,-1,-1,,,,
S0106-100,S0106,OLR,,hiT 7300+,S0106-100,5.10,,,-1,-1,-1,,,,
S0107-100,S0107,OLR,,hiT 7300+,S0107-100,5.10,,,-1,-1,-1,,,,
S0108-100,S0108,OLR,,hiT 7300+,S0108-100,5.10,,,-1,-1,-1,,,,
S0109-100,S0109,OLR,,hiT 7300+,S0109-100,5.10,,,-1,-1,-1,,,,
S0110-100,S0110,OLR,,hiT 7300+,S0110-100,5.10,,,-1,-1,-1,,,,
S0111-100,S0111,OLR,,hiT 7300+,S0111-100,5.10,,,-1,-1,-1,,,,
S0112-100,S0112,OLR,,hiT 7300+,S0112-100,5.10,,,-1,-1,-1,,,,
S0113-100,S0113,OLR,,hiT 7300+,S0113-100,5.10,,,-1,-1,-1,,,,
S0114-100,S0114,OLR,,hiT 7300+,S0114-100,5.10,,,-1,-1,-1,,,,
S0115-100,S0115,OLR,,hiT 7300+,S0115-100,5.10,,,-1,-1,-1,,,,
S0116-100,S0116,OLR,,hiT 7300+,S0116-100,5.10,,,-1,-1,-1,,,,
S0117-100,S0117,OLR,,hiT 7300+,S0117-100,5.10,,,-1,-1,-1,,,,
S0118-100,S0118,OLR,,hiT 7300+,S0118-100,5.10,,,-1,-1,-1,,,,
S0119-100,S0119,OLR,,hiT 7300+,S0119-100,5.10,,,-1,-1,-1,,,,
S0120-100,S0120,OLR,,hiT 7300+,S0120-100,5.10,,,-1,-1,-1,,,,
S0121-100,S0121,OLR,,hiT 7300+,S0121-100,5.10,,,-1,-1,-1,,,,
S0122-100,S0122,OLR,,hiT 7300+,S0122-100,5.10,,,-1,-1,-1,,,,
S0123-100,S0123,OLR,,hiT 7300+,S0123-100,5.10,,,-1,-1,-1,,,,
S0124-100,S0124,OLR,,hiT 7300+,S0124-100,5.10,,,-1,-1,-1,,,,
S0125-100,S0125,OLR,,hiT 7300+,S0125-100,5.10,,,-1,-1,-1,,,,
S0126-100,S0126,OLR,,hiT 7300+,S0126-100,5.10,,,-1,-1,-1,,,,
S0127-100,S0127,OLR,,hiT 7300+,S0127-100,5.10,,,-1,-1,-1,,,,
S0128-100,S0128,OLR,,hiT 7300+,S0128-100,5.10,,,-1,-1,-1,,,,
S0129-100,S0129,OLR,,hiT 7300+,S0129-100,5.10,,,-1,-1,-1,,,,
S0063-100,S0063,OLR,,hiT 7300+,S0063-100,5.10,,,-1,-1,-1,,,,
